id,title,brief,url,img_src,message
84,NBA：太阳118-105战胜雄鹿取得总决赛开门红,北京时间7月7日，NBA总决赛，太阳以118-105战胜雄鹿，取得开门红。,https://photo.cctv.com/2021/07/07/PHOAI5u7b7k6AMG3pPx0zsSP210707.shtml,https://p1.img.cctvpic.com/photoworkspace/2021/07/07/2021070714525588916.jpg,
85,俄罗斯一银行发生人质劫持事件 3人被劫持,据俄罗斯卫星网7日报道，西伯利亚地区秋明市的一家银行发生人质劫持事件，3人被劫持,https://news.cctv.com/2021/07/07/ARTIBl9B3bEc16RGrWYFe9IX210707.shtml,https://p2.img.cctvpic.com/photoworkspace/2021/07/07/2021070714521993911.jpg,据俄罗斯卫星网7日报道，西伯利亚地区秋明市的一家银行发生人质劫持事件，3人被劫持。（海外网王西洛）
86,日本拟将小龙虾指定为外来入侵物种：禁止进口和贩卖,当地时间7日，日本环境省召开专家会议，基本同意将小龙虾指定为外来入侵物种，正式提案将于8月份提出。提案如获通过，日本将禁止进口、贩卖和在野外放生小龙虾。,https://news.cctv.com/2021/07/07/ARTIviLSOdKET1J2OlorVeNM210707.shtml,https://p1.img.cctvpic.com/photoworkspace/2021/07/07/2021070714513671714.jpg,小龙虾（资料图）当地时间7日，日本环境省召开专家会议，基本同意将小龙虾指定为外来入侵物种，正式提案将于8月份提出。提案如获通过，日本将禁止进口、贩卖和在野外放生小龙虾。据日本《每日新闻》7日报道，日本环境省正在讨论提案的具体细节，现有草案计划允许民众在获得许可的情况下将小龙虾当做宠物饲养，但禁止其进口、贩卖和在野外放生。小龙虾被从美国带到日本后，在日本各地的池塘等淡水水域大量繁殖，导致本土物种锐减，引发了将其指定为外来入侵物种的讨论。（海外网王西洛）
87,美国疫情“人祸”之三：瘫痪政治的“党派部落主义”,誓言在美国独立日实现“独立于病毒”的拜登政府，未能完成其在7月4日前让70%美国成年人接种至少一剂新冠疫苗的目标。与此同时，美国国内对于疫苗接种的党派分歧越来越明显，各州之间、城乡之间接种比例也有显著差异。,https://news.cctv.com/2021/07/07/ARTIoc5mAZLotoRHF3qylayu210707.shtml,https://p5.img.cctvpic.com/photoworkspace/2021/07/07/2021070714380184767.jpg,新华社北京7月6日电新华社记者誓言在美国独立日实现“独立于病毒”的拜登政府，未能完成其在7月4日前让70%美国成年人接种至少一剂新冠疫苗的目标。与此同时，美国国内对于疫苗接种的党派分歧越来越明显，各州之间、城乡之间接种比例也有显著差异。从疫情一开始，民主、共和两党及其支持者就在戴口罩、隔离措施、病毒危害性等问题上存在分歧，再加上如今在疫苗接种问题上的对立，这些都是美国“党派部落主义”顽疾在疫情防控问题上的表现。如今的美国深陷“为反对而反对”的党争泥潭，掣肘盛行，效能低下。政治瘫痪让这个拥有先进医疗技术和充足医疗资源的超级大国在面对新冠病毒的攻击时一败涂地，酿成了超过60万人病亡的人间悲剧。根据美国疾病控制和预防中心4日发布的最新数据，迄今为止，美国67.1%的成年人接种了至少一剂疫苗，约58%的成年人完成了疫苗接种。美国媒体对数据进行分析后发现，疫苗接种在年龄、种族、地域、党派上都存在差异，年轻人接种意愿较低，白人接种比例远高于其他族裔，郊区和乡村居民在接种上远落后于城市居民。而党派差异尤为明显，根据美国全国公共广播电台、美国公共广播公司和马里斯特学院5月初公布的一项联合民调结果，45%的共和党人不愿告诉别人自己已接种，41%的共和党人表示不打算接种。与此同时，只有4%的民主党人和27%的独立选民表示不打算接种。美国《政治报》网站日前援引哈佛大学一项分析说，在目前居民接种比例至少达到60%的39个国会选区中，38个选区的代表是民主党人。相比之下，在居民接种比例不到三分之一的30个选区中，28个选区的代表是共和党人。“这些数据凸显出，接种疫苗已成为美国最新的政治断层线。”美国《丹佛邮报》网站一篇文章分析说，共和党人和民主党人对新冠疫情及其危险程度的评估截然不同，认为新冠病毒对美国人健康构成重大威胁的民主党人大约是持同样看法的共和党人的2倍。公众对病毒及疫苗看法的两极分化，与政治人物公开传递的信息高度相关。美国《科学》杂志指出，“美国的疫情应对，受到政治人物发出的矛盾信息的困扰”。《滚石》杂志网站也刊文说，共和党政客把疫苗当成党派问题，他们散播的反疫苗信息正在发挥作用。美国媒体警告说，党争带来的这种意见分歧后果严重，变异病毒正在美国等地传播，那些接种率较低的地区可能会面临新的感染高峰和更多人的死亡。有美国媒体形象地指出，美国人对疫情的反应充斥着“红队对阵蓝队”的政治色彩。泰德·克鲁兹、苏珊·柯林斯等共和党籍资深联邦参议员日前联合发起动议，敦促美国疾控中心取消自今年2月起实施的口罩强制令。该强制令是美国总统拜登上台后实施的新政之一，要求全美范围内所有乘坐公共交通工具的人员都必须戴口罩，违者可能面临刑事处罚。而克鲁兹等共和党人认为，已接种疫苗者无须遵守口罩令。此前，16名国会众议院共和党人6月初共同提出一项法案，要求禁止商业公司、医院、疗养院、高校、保险公司等强制或以其他方式要求其员工、客户或学生接种疫苗。自疫情暴发以来，美国两党一些政客就在如何看待和应对疫情的问题上争斗不止，将抗疫政治化，大搞“党争优先”，导致美国联邦政府和地方政府之间、不同党派主导的州之间抗疫措施力度不一，抗疫资源分配不均，就连戴不戴口罩这样简单的问题都引发了一场“政治大战”。面对这样不顾公众利益的党派恶斗，美国国家过敏症和传染病研究所所长安东尼·福奇只能委婉地指出，“政治分歧让协调合作行动不易形成。”而美国《密尔沃基独立报》网站一篇文章则更为直白地说，政治斗争把这场疫情变成针对反对者的战争，“但这只会浪费生命、拖延抗疫进展并加剧痛苦”。
88,挑起非法战争 搅乱世界秩序,自1776年宣布独立以来，在240多年的历史中，美国没有参与战争的时间不到20年。据不完全统计，自1945年第二次世界大战结束至2001年，世界上153个地区发生了248次武装冲突，其中美国发起的就有201场，约占81%。,https://news.cctv.com/2021/07/07/ARTIsitmsdZ1b4411C2UawLT210707.shtml,https://p4.img.cctvpic.com/photoworkspace/2021/07/07/2021070714333543648.jpeg,漫画作者：陆凌兴(人民网版权图片，未经授权，请勿转载。)美国是世界历史上最好战的国家。自1776年宣布独立以来，在240多年的历史中，美国没有参与战争的时间不到20年。据不完全统计，自1945年第二次世界大战结束至2001年，世界上153个地区发生了248次武装冲突，其中美国发起的就有201场，约占81%。在美国参与的这些战争中，有的是美国操纵联合国通过安理会授权这一“合法渠道”对外发起军事打击，更多的是美国打着所谓“人权”的旗号肆意挑起“非法战争”。冷战后，美国在中东地区动武次数最多。在未经联合国安理会授权，甚至未获美国国会批准的情况下，美国政府相继发动或参与阿富汗、伊拉克、利比亚、叙利亚等战争，不仅夺走无数的生命，更造成难以估量的平民伤亡和财产损失，数千万人沦为流离失所的世界难民，严重侵害地区人民的生命权、生存权、发展权，酿成骇人的人道主义灾难。事实证明，所谓“天赋使命”的美国，才是搅乱世界的祸首。
89,漫画：疫苗援助承诺变“空头支票”， 美国患上“重度拖延症”？,拜登政府此前宣布要在6月底前向海外提供8000万剂新冠疫苗援助，然而计划的落实却迟迟不到位，甚至在距离截止日期仅剩一周多的时间才公布详细的分配计划。 诚然，疫苗援助需面对美国政府所声称的储存、运输及语言障碍等多种难题，但作为一个...,https://news.cctv.com/2021/07/07/ARTIjx1iNpMV5EWKRJDLl1SG210707.shtml,https://p1.img.cctvpic.com/photoworkspace/2021/07/07/2021070714314821756.jpg,拜登政府此前宣布要在6月底前向海外提供8000万剂新冠疫苗援助，然而计划的落实却迟迟不到位，甚至在距离截止日期仅剩一周多的时间才公布详细的分配计划。诚然，疫苗援助需面对美国政府所声称的储存、运输及语言障碍等多种难题，但作为一个大国政府，在设立目标之初就应该制定出相应的计划，提前考虑各种困难因素，而不是等到目标无法完成时推卸责任，顾左右而言他。美国政府在疫苗接种和援助上的“重度拖延症”让人不禁怀疑，他们此前给出的所谓目标和承诺，究竟是根据实际情况所制定下来的可行目标，还是打肿脸充胖子的“政治作秀”？作者：雷宇竺 冯爽莫红娥
90,环球深观察丨这就是美国的人权劣迹：贩卖人口和强迫劳动都有记录！,美国国务院日前发表2021年度《人口贩运问题报告》，在指摘其他一些国家和地区“打击人口贩运不力”的同时，却将美国自己列入“表现最好的第一类名单”。这样的做法遭到多方批驳。,https://news.cctv.com/2021/07/07/ARTI7ijIYJ0HJptlw0aptLoD210707.shtml,https://p3.img.cctvpic.com/photoworkspace/2021/07/07/2021070714263174254.png,美国国务院日前发表2021年度《人口贩运问题报告》，在指摘其他一些国家和地区“打击人口贩运不力”的同时，却将美国自己列入“表现最好的第一类名单”。这样的做法遭到多方批驳。△美国国务院官网截图人们还记得，就在此前的联合国人权理事会第47届会议上，中国代表团与贩卖人口问题特别报告员进行互动对话时，曾对美国等国存在的严重现代奴役和贩卖人口现象表示了严重关切。△中国常驻联合国日内瓦办事处和瑞士其他国际组织代表团官网截图无数事实证明，在以贩奴历史而恶名昭著的美国，今天仍广泛存在着“现代奴隶制”，人口贩卖和强迫劳动等严重侵犯人权的丑行层出不穷。阳光下的罪恶近日，有美国媒体刊发一则深度报道，详细曝光了佐治亚州奥尔巴尼市骇人听闻的人口贩卖链条。△美国WALB新闻网报道截图据当地检察官格雷格爱德华兹介绍，奥尔巴尼市长期以来都是佐治亚州西南部地区的人口贩卖中心，当地人贩子经常在体育场、商场和杂货店这类地方光天化日之下公然活动。他们通常以离家出走的人为目标，或者怂恿被他们盯上的人离家出走，得手后便将受害者带回事先包下的酒店或汽车旅馆，使用敲诈勒索、毒品暴力等方式控制受害者，逼迫其参与性和毒品交易。受害者通常是青少年。△美国WALB新闻网报道截图佐治亚州的莉亚迪近两年来一直致力于提高人们对当地猖獗的人口贩卖活动的认识。“我会在洗澡的时候大哭一场，因为我不想让任何人的儿女成为人口贩卖的受害者。我有两个孩子，我无法想象会发生这种事！”△美国WALB新闻网报道截图更可悲的是，美国发达的互联网平台竟然成了性贩运犯罪的“帮凶”。美国人口贩运研究所上月发布的《2020年联邦人口贩运报告》显示，2000年至2020年美国有案可查的性贩运案件中，有30%的受害者是在互联网上被诱骗的，而在脸书上被骗的受害者占了其中大多数，去年的这一比例高达59%；儿童性贩运受害者中更是有多达65%的人是在脸书上被骗的。△美国哥伦比亚广播公司（CBS）报道截图报告还显示，妇女和女孩是性贩运分子的主要目标，98%的犯罪案件涉及女性受害者，而其中91%来自美国。△科技媒体arstechnica网站报道截图另据反人口贩卖组织deliverfund去年发布的报告显示，美国每年有1.5万至5万名女性和儿童被迫成为性奴。宾夕法尼亚大学的一份报告则认为这个数字在10万至30万之间。美国卫生与公众服务部更是估计受害者多达24万至32.5万人。△deliverfund网站报道截图讽刺的是，2020年正值美国《人口贩运受害者保护法》颁布20周年之际。该项法律明确将人口贩运定为美国的“联邦犯罪”。“强迫劳动在美国比你想象的更普遍”性贩运当然不是美国人口贩卖活动的全部。来看看下面的最新例子。上月底，墨西哥驻美国领事部门通知犹他州总检察长办公室：该州的奥格登市可能发生了一起贩卖劳工案。当地一家娱乐公司老板乔丹纳撒尼尔詹森涉嫌非法诱使20多名墨西哥公民为其公司工作。据美媒报道，詹森向这些墨西哥公民许下每周400美元的薪酬，并为他们赴美办理了工作签证。但当他们抵达美国时就被没收了护照。此后，他们被安排住在一辆没有水、电和空调的移动拖车里，每周工作大约70个小时。在申请辞工未果后，这些劳工被迫在没有护照的情况下逃离了詹森的公司，并联系了墨西哥领事馆。△福克斯新闻报道截图事实上，类似的实例在美国数不胜数。数据显示，在过去5年，美国所有50个州和哥伦比亚特区均报告了强迫劳动和人口贩卖案。每年从境外贩卖至美国从事强迫劳动的人口多达10万，其中一半被贩卖到血汗工厂或遭受家庭奴役。早在2017年，美国独立记者吉娜-玛丽奇斯曼就发表题为《强迫劳动在美国比你想象的更普遍》的调查报告指出，在这个世界上最富有国家的各个城镇里，许多行业和市场中都可以看到人口贩卖现象。△美国财经媒体TriplePundit网站报道截图据非营利组织“立即结束奴隶制”介绍，虽然很多性贩运受害者是美国人，但其他行业的强迫劳动受害者更多是外国人。他们中的一些人被人贩子以工作或学生签证骗入美国，还有一些人则是到美国以后成为人贩子的目标。美国农业领域的人口贩卖和强迫劳动现象尤为突出。“立即结束奴隶制”组织指出，农场工人是“美国经济中收入最低、受剥削最严重的工人”。他们不仅收入低、缺乏其他美国工人享有的权利，还经常被迫在没有医保、病假、养老金或其他工作保障的情况下工作。致力于根除现代奴隶制的非营利组织“北极星项目”将劳工贩运描述为“存在于整个美国的一种现代奴隶制形式”：人贩子使用暴力、谎言和债务等手段，“迫使人们在许多不同行业从事违背自己意愿的工作”。△TriplePundit网站报道截图就连美国国务院自己也承认，美国是强迫劳动、债务奴役、非自愿奴役、性贩运受害者的“来源国、中转国和目的地国”，受害者中包括美国公民和外国公民。△TriplePundit网站报道截图对于美国在贩卖人口和强迫劳动领域“贼喊捉贼”的一贯把戏，国际社会早已批驳不断。正如中国外交部发言人汪文斌所说，美方没有资格四处挥舞人权大棒，美方需要做的是反省并纠正自身犯下的种族灭绝、种族歧视、强迫劳动等人权罪行。美方是否能认真审视并纠正自身的人权劣迹，国际社会拭目以待。△汪文斌
91,印尼政府要求氧气全部供给医院,7月5日，印尼政府要求制氧企业把所有氧气供应给医疗机构。,https://photo.cctv.com/2021/07/07/PHOARibt3EDRaLEiuH359ubD210707.shtml,https://p4.img.cctvpic.com/photoworkspace/2021/07/07/2021070713381919458.jpg,
92,第74届法国戛纳国际电影节开幕,第74届法国戛纳国际电影节于7月6日拉开帷幕，将有23部主竞赛单元影片竞逐本届电影节最高奖——“金棕榈奖”。,https://photo.cctv.com/2021/07/07/PHOAViLfs9y1FWwejw0zICSM210707.shtml,https://p1.img.cctvpic.com/photoworkspace/2021/07/07/2021070712271774107.jpg,
93,东京奥运会每场比赛观众上限或为5000人 超售门票场次将抽签,在东京都等地继续适用“防止疫情蔓延等重点措施”的情况下，东京奥运会的每场比赛观众人数将按照日本政府对大规模活动参与人数的限制方针“可容纳人数50%以内且最多不超过5000人”进行限制，按上限5000人的标准进行再次抽签。,https://news.cctv.com/2021/07/07/ARTIBpfJDS1FGwwKk3gItOir210707.shtml,https://p5.img.cctvpic.com/photoworkspace/2021/07/07/2021070710582747371.jpg,据共同社7日报道，多位相关人士6日透露，关于东京奥运会观众人数上限问题，将有一个新的抽签方案。即在东京都等地继续适用“防止疫情蔓延等重点措施”的情况下，东京奥运会的每场比赛观众人数将按照日本政府对大规模活动参与人数的限制方针“可容纳人数50%以内且最多不超过5000人”进行限制，按上限5000人的标准进行再次抽签。这意味着对于门票购买人数超过5000人的大规模场馆也将允许观众入场观赛，而不是空场举办。今后，相关方面将就观众问题继续协调。此外，晚9时以后的比赛，仍计划在无观众状态下举办。由于奥运会开幕式及闭幕式是夜间时段，国立竞技场可能不会允许观众入场。(总台记者周莉)
